,aluguel,quartos,endereco,banheiro,vaga,area,bairro,rua
387,   R$ 6.500 /Mês  ,  1   Quarto  ,"Rua Doutor Mário Ferraz, 415 - Jardim Paulistano, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  50   m²  , Jardim Paulistano,"Rua Doutor Mário Ferraz, 415"
388,   R$ 1.400 /Mês  ,  2   Quartos  ,"Rua Tenente-Coronel Soares Neiva, 95 - Vila Aricanduva, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  40   m²  , Vila Aricanduva,"Rua Tenente-Coronel Soares Neiva, 95"
389,   R$ 6.860 /Mês  ,  3   Quartos  ,"Rua Joaquim dos Reis, 267 - Vila Cruzeiro, São Paulo - SP",  6   Banheiros  ,  4   Vagas  ,  300   m²  , Vila Cruzeiro,"Rua Joaquim dos Reis, 267"
390,   R$ 20.000 /Mês    R$ 4.500.000   ,  5   Quartos  ,"Rua Capitão Garcindo - Pacaembu, São Paulo - SP",  4   Banheiros  ,  4   Vagas  ,  434   m²  , Pacaembu,Rua Capitão Garcindo
391,   R$ 40.000 /Mês    R$ 9.500.000   ,  5   Quartos  ,"Morumbi, São Paulo - SP",  4   Banheiros  ,  4   Vagas  ,  660   m²  , SP,"Morumbi, São Paulo"
392,   R$ 40.000 /Mês    R$ 5.800.000   ,  5   Quartos  ,"Cidade Jardim, São Paulo - SP",  5   Banheiros  ,  8   Vagas  ,  1000   m²  , SP,"Cidade Jardim, São Paulo"
393,   R$ 40.000 /Mês    R$ 9.500.000   ,  5   Quartos  ,"Rua Oliveira Pimentel - Jardim Paulista, São Paulo - SP",  9   Banheiros  ,  5   Vagas  ,  717   m²  , Jardim Paulista,Rua Oliveira Pimentel
394,   R$ 1.800 /Mês  ,  2   Quartos  ,"Rua José Zappi - Vila Prudente, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  283   m²  , Vila Prudente,Rua José Zappi
395,   R$ 9.000 /Mês  ,  3   Quartos  ,"Rua Leonardo Nardez - Vila Nova Conceição, São Paulo - SP",  4   Banheiros  ,  2   Vagas  ,  221   m²  , Vila Nova Conceição,Rua Leonardo Nardez
396,   R$ 7.000 /Mês  ,  3   Quartos  ,"Rua Pariquera-Açu, 78 - Indianópolis, São Paulo - SP",  3   Banheiros  ,  3   Vagas  ,  230   m²  , Indianópolis,"Rua Pariquera-Açu, 78"
397,   R$ 9.000 /Mês    R$ 1.700.000   ,  4   Quartos  ,"Lar São Paulo, São Paulo - SP",  5   Banheiros  ,  6   Vagas  ,  512   m²  , SP,"Lar São Paulo, São Paulo"
398,   R$ 1.200 /Mês  ,  2   Quartos  ,"Rua Cavalieri, 55 - Quarta Parada, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  100   m²  , Quarta Parada,"Rua Cavalieri, 55"
399,   R$ 80.000 /Mês    R$ 33.800.000   ,  6   Quartos  ,"Retiro Morumbi, São Paulo - SP",  10   Banheiros  ,  11   Vagas  ,  1700   m²  , SP,"Retiro Morumbi, São Paulo"
400,   R$ 2.800 /Mês  ,  2   Quartos  ,"Rua Castro Alves, 279 - Aclimação, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  60   m²  , Aclimação,"Rua Castro Alves, 279"
401,   R$ 1.900 /Mês  ,  1   Quarto  ,"Rua Itararé - Bela Vista, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  48   m²  , Bela Vista,Rua Itararé
402,   R$ 3.100 /Mês  ,  3   Quartos  ,"Rua Cristiano Viana, 505 - Cerqueira César, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  80   m²  , Cerqueira César,"Rua Cristiano Viana, 505"
403,   R$ 6.000 /Mês  ,  3   Quartos  ,"Rua Guarará, 77 - Jardim Paulista, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  140   m²  , Jardim Paulista,"Rua Guarará, 77"
404,   R$ 3.000 /Mês  ,  2   Quartos  ,"Rua São Venceslau, 243 - Vila Guarani (Z Sul), São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  56   m²  , Vila Guarani (Z Sul),"Rua São Venceslau, 243"
405,   R$ 6.800 /Mês  ,  3   Quartos  ,"Rua Canário, 1200 - Moema, São Paulo - SP",  4   Banheiros  ,  2   Vagas  ,  130   m²  , Moema,"Rua Canário, 1200"
406,   R$ 2.500 /Mês    R$ 650.000   ,  1   Quarto  ,"Rua Turiassu - Perdizes, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  66   m²  , Perdizes,Rua Turiassu
407,   R$ 3.000 /Mês  ,  3   Quartos  ,"Avenida Mascote - Vila Mascote, São Paulo - SP",  3   Banheiros  ,  1   Vaga  ,  90   m²  , Vila Mascote,Avenida Mascote
408,   R$ 3.000 /Mês    R$ 890.000   ,  3   Quartos  ,"Rua Artur de Azevedo - Cerqueira César, São Paulo - SP",  3   Banheiros  ,  1   Vaga  ,  120   m²  , Cerqueira César,Rua Artur de Azevedo
409,   R$ 4.500 /Mês    R$ 1.399.990   ,  4   Quartos  ,"Rua Aguaraíba, 159 - Vila Anhangüera, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  300   m²  , Vila Anhangüera,"Rua Aguaraíba, 159"
410,   R$ 60.000 /Mês    R$ 14.000.000   ,  4   Quartos  ,"Rua Professor Luiz Oliani - Morumbi, São Paulo - SP",  9   Banheiros  ,  18   Vagas  ,  1100   m²  , Morumbi,Rua Professor Luiz Oliani
411,   R$ 2.600 /Mês  ,  1   Quarto  ,"Rua Bruno Simoni, 170 - Pinheiros, São Paulo - SP",  2   Banheiros  ,  --   Vaga  ,  85   m²  , Pinheiros,"Rua Bruno Simoni, 170"
412,   R$ 5.500 /Mês    R$ 820.000   ,  3   Quartos  ,"Rua Francisco Olandim, 267 - São João Clímaco, São Paulo - SP",  4   Banheiros  ,  3   Vagas  ,  212   m²  , São João Clímaco,"Rua Francisco Olandim, 267"
413,   R$ 13.000 /Mês    R$ 3.600.000   ,  3   Quartos  ,"Rua Inglaterra - Jardim Europa, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  200   m²  , Jardim Europa,Rua Inglaterra
414,   R$ 18.000 /Mês    R$ 4.240.000   ,  6   Quartos  ,"Rua Bernardino Machado, 321 - Granja Julieta, São Paulo - SP",  7   Banheiros  ,  4   Vagas  ,  800   m²  , Granja Julieta,"Rua Bernardino Machado, 321"
