,rent,rooms,address,bathroom,parking,area,suburb,street
918,1400,  1  ,"Avenida Engenheiro Heitor Antônio Eiras Garcia, 229 - Jardim Esmeralda, São Paulo - SP",  1  ,  --  ,  20  ,Jardim Esmeralda,"Avenida Engenheiro Heitor Antônio Eiras Garcia, 229"
919,1100,  1  ,"Alameda Eduardo Prado, 282 - Campos Elíseos, São Paulo - SP",  1  ,  --  ,  24  ,Campos Elíseos,"Alameda Eduardo Prado, 282"
920,1200,  1  ,"Santa Cecília, São Paulo - SP",  1  ,  --  ,  40  ,SP,"Santa Cecília, São Paulo"
921,1100,  --  ,"Rua Santo Amaro, 240 - Bela Vista, São Paulo - SP",  1  ,  --  ,  28  ,Bela Vista,"Rua Santo Amaro, 240"
922,1500,  1  ,"Rua Constantino de Sousa, 1372 - Campo Belo, São Paulo - SP",  1  ,  --  ,  20  ,Campo Belo,"Rua Constantino de Sousa, 1372"
923,1700,  1  ,"Rua Santa Isabel, 112 - Vila Buarque, São Paulo - SP",  1  ,  --  ,  30  ,Vila Buarque,"Rua Santa Isabel, 112"
924,1200,  --  ,"Rua Japurá, 43 - Bela Vista, São Paulo - SP",  1  ,  --  ,  38  ,Bela Vista,"Rua Japurá, 43"
925,1200,  1  ,"Rua Aurora, 72 - Santa Efigênia, São Paulo - SP",  1  ,  --  ,  40  ,Santa Efigênia,"Rua Aurora, 72"
926,1000,  1  ,"Avenida Vieira de Carvalho - República, São Paulo - SP",  1  ,  --  ,  28  ,República,Avenida Vieira de Carvalho
927,1700,  1  ,"Rua da Consolação, 3075 - Cerqueira César, São Paulo - SP",  1  ,  1  ,  28  ,Cerqueira César,"Rua da Consolação, 3075"
928,955,  --  ,"Rua Santo Amaro, 240 - Bela Vista, São Paulo - SP",  1  ,  --  ,  27  ,Bela Vista,"Rua Santo Amaro, 240"
929,3500,  2  ,"Rua Sante Colombara - Tatuapé, São Paulo - SP",  3  ,  2  ,  220  ,Tatuapé,Rua Sante Colombara
930,9900,  4  ,"Rua Tingui, 400 - Vila Inah, São Paulo - SP",  6  ,  --  ,  485  ,Vila Inah,"Rua Tingui, 400"
931,2800,  2  ,"Rua Cláudio Rossi, 370 - Jardim da Glória, São Paulo - SP",  2  ,  2  ,  105  ,Jardim da Glória,"Rua Cláudio Rossi, 370"
932,9900,  3  ,"Rua Fradique Coutinho, 1896 - Pinheiros, São Paulo - SP",  4  ,  2  ,  263  ,Pinheiros,"Rua Fradique Coutinho, 1896"
933,2200,  2  ,"Parque São Domingos, São Paulo - SP",  2  ,  2  ,  80  ,SP,"Parque São Domingos, São Paulo"
934,8500,  3  ,"Rua Doutor Baeta Neves, 98 - Vila Madalena, São Paulo - SP",  3  ,  1  ,  200  ,Vila Madalena,"Rua Doutor Baeta Neves, 98"
935,4000,  3  ,"Rua Hugo Walter Puschnick, 24 - Alto da Mooca, São Paulo - SP",  5  ,  5  ,  260  ,Alto da Mooca,"Rua Hugo Walter Puschnick, 24"
936,2700,  3  ,"Rua Piatá, , 627 - Vila Isolina Mazzei, São Paulo - SP",  2  ,  2  ,  120  ,Vila Isolina Mazzei,"Rua Piatá, , 627"
937,10000,  4  ,"Rua República do Iraque, 247 - Parque Colonial, São Paulo - SP",  5  ,  4  ,  374  ,Parque Colonial,"Rua República do Iraque, 247"
938,3500,  4  ,"Rua Arandu - Brooklin Paulista, São Paulo - SP",  4  ,  2  ,  150  ,Brooklin Paulista,Rua Arandu
939,3500,  2  ,"Alto da Boa Vista, São Paulo - SP",  2  ,  1  ,  120  ,SP,"Alto da Boa Vista, São Paulo"
940,2300,  3  ,"Vila Nova Mazzei, São Paulo - SP",  3  ,  2  ,  120  ,SP,"Vila Nova Mazzei, São Paulo"
941,9000,  7  ,"Rua Afonso Celso - Vila Mariana, São Paulo - SP",  5  ,  6  ,  450  ,Vila Mariana,Rua Afonso Celso
942,2500,  2  ,"Rua Antônio Cantarella - Vila Santo Estéfano, São Paulo - SP",  2  ,  2  ,  180  ,Vila Santo Estéfano,Rua Antônio Cantarella
943,10000,  4  ,"Chácara Santo Antônio (Zona Sul), São Paulo - SP",  5  ,  4  ,  435  ,SP,"Chácara Santo Antônio (Zona Sul), São Paulo"
944,10000,  4  ,"Interlagos, São Paulo - SP",  5  ,  --  ,  390  ,SP,"Interlagos, São Paulo"
945,14000,  4  ,"Chácara Monte Alegre, São Paulo - SP",  4  ,  2  ,  407  ,SP,"Chácara Monte Alegre, São Paulo"
946,8000,  3  ,"Rua Iraci - Jardim Paulistano, São Paulo - SP",  2  ,  2  ,  130  ,Jardim Paulistano,Rua Iraci
947,9000,  4  ,"Avenida Piassanguaba - Planalto Paulista, São Paulo - SP",  8  ,  8  ,  574  ,Planalto Paulista,Avenida Piassanguaba
948,25000,  7  ,"Rua Gaurama - Jardim Franca, São Paulo - SP",  7  ,  8  ,  579  ,Jardim Franca,Rua Gaurama
949,4000,  3  ,"Travessa Humberto I, 0 - Vila Mariana, São Paulo - SP",  3  ,  1  ,  180  ,Vila Mariana,"Travessa Humberto I, 0"
950,13000,  4  ,"Jardim dos Estados, São Paulo - SP",  5  ,  3  ,  340  ,SP,"Jardim dos Estados, São Paulo"
951,13000,  11  ,"Rua Pedro Morganti - Vila Mariana, São Paulo - SP",  4  ,  5  ,  369  ,Vila Mariana,Rua Pedro Morganti
952,2200,  6  ,"Vila Santa Catarina, São Paulo - SP",  5  ,  2  ,  150  ,SP,"Vila Santa Catarina, São Paulo"
953,2300,  1  ,"Rua Bom Pastor, 1557 - Ipiranga, São Paulo - SP",  1  ,  1  ,  34  ,Ipiranga,"Rua Bom Pastor, 1557"
954,8500,  3  ,"Rua Professor José Leite e Oiticica, 240 - Brooklin, São Paulo - SP",  5  ,  2  ,  150  ,Brooklin,"Rua Professor José Leite e Oiticica, 240"
955,1900,  1  ,"Rua André Casado, 215 - Sumaré, São Paulo - SP",  1  ,  1  ,  50  ,Sumaré,"Rua André Casado, 215"
956,2250,  2  ,"Avenida Padre Antônio José dos Santos, 1666 - Brooklin, São Paulo - SP",  2  ,  1  ,  86  ,Brooklin,"Avenida Padre Antônio José dos Santos, 1666"
957,2200,  1  ,"Rua Dona Antônia de Queirós, 183 - Higienópolis, São Paulo - SP",  1  ,  1  ,  45  ,Higienópolis,"Rua Dona Antônia de Queirós, 183"
958,1300,  1  ,"Rua Frei Caneca, 282 - Consolação, São Paulo - SP",  1  ,  --  ,  60  ,Consolação,"Rua Frei Caneca, 282"
959,6500,  1  ,"Rua Doutor Mário Ferraz, 415 - Itaim Bibi, São Paulo - SP",  2  ,  1  ,  50  ,Itaim Bibi,"Rua Doutor Mário Ferraz, 415"
960,2600,  2  ,"Rua Santo Arcádio, 43 - Jardim das Acacias, São Paulo - SP",  1  ,  1  ,  64  ,Jardim das Acacias,"Rua Santo Arcádio, 43"
961,4000,  2  ,"Alameda Tietê, 353 - Jardins, São Paulo - SP",  3  ,  1  ,  100  ,Jardins,"Alameda Tietê, 353"
962,3300,  2  ,"Rua Sargento José Spessoto, 157 - Vila Mariana, São Paulo - SP",  3  ,  1  ,  97  ,Vila Mariana,"Rua Sargento José Spessoto, 157"
963,2900,  1  ,"Praça Júlio Mesquita, 97 - República, São Paulo - SP",  1  ,  1  ,  46  ,República,"Praça Júlio Mesquita, 97"
964,3750,  1  ,"Rua Henri Dunant, 1066 - Santo Amaro, São Paulo - SP",  1  ,  1  ,  55  ,Santo Amaro,"Rua Henri Dunant, 1066"
965,1500,  2  ,"Rua Santa Crescência, 85 - Vila Sônia, São Paulo - SP",  1  ,  1  ,  65  ,Vila Sônia,"Rua Santa Crescência, 85"
966,3000,  1  ,"Rua Avanhandava, 65 - Bela Vista, São Paulo - SP",  1  ,  --  ,  25  ,Bela Vista,"Rua Avanhandava, 65"
967,6000,  2  ,"Rua Coronel Oscar Porto, 680 - Paraíso, São Paulo - SP",  2  ,  1  ,  72  ,Paraíso,"Rua Coronel Oscar Porto, 680"
968,2100,  3  ,"Avenida Marechal Mário Guedes, 02 - Jaguaré, São Paulo - SP",  2  ,  2  ,  70  ,Jaguaré,"Avenida Marechal Mário Guedes, 02"
969,3100,  3  ,"Rua Cristiano Viana, 505 - Pinheiros, São Paulo - SP",  2  ,  1  ,  80  ,Pinheiros,"Rua Cristiano Viana, 505"
970,1900,  2  ,"Rua Pedroso de Camargo, 256 - Chácara Santo Antônio, São Paulo - SP",  1  ,  --  ,  80  ,Chácara Santo Antônio,"Rua Pedroso de Camargo, 256"
971,800,  1  ,"Rua Dario Ferreira Martins - São Miguel Paulista, São Paulo - SP",  1  ,  1  ,  50  ,São Miguel Paulista,Rua Dario Ferreira Martins
972,16000,  4  ,"Rua Nebraska - Brooklin, São Paulo - SP",  5  ,  4  ,  200  ,Brooklin,Rua Nebraska
